"","Observacoes","PM10x10...3.","COx10...3.","NO2x10...3."
"1","0 - 20",33,106,79
"2","20 - 40",65,163,3
"3","40 - 60",143,70,18
"4","60 - 80",64,17,50
"5","80 - 100",36,7,61
"6","100 - 120",11,2,52
"7","120 - 140",7,0,28
"8","140 - 160",6,0,23
"9","160 - 180",0,0,17
"10","180 - 200",0,0,14
"11","200 - 220",0,0,6
"12","220 - 240",0,0,4
"13","240 - 260",0,0,5
"14","260 - 280",0,0,3
"15","280 - 300",0,0,0
"16","300 - 320",0,0,1
"17","320 - 340",0,0,0
"18","340 - 360",0,0,0
"19","360 - 380",0,0,0
"20","380 - 400",0,0,1
